,latitude,longitude,cities,countrycode,kmeans_label,db_label
414,-8.00889,-34.85528,Olinda,BR,3,0
415,25.9812,-80.14838,Hallandale Beach,US,0,0
416,41.80843,-72.24951999999999,Storrs,US,0,0
417,39.173159999999996,-77.27165,Germantown,US,0,0
418,41.12389,-100.76541999999999,North Platte,US,0,0
419,39.75554,-105.2211,Golden,US,0,0
420,40.68278,46.36056,Ganja,AZ,2,4
421,27.701690000000003,85.3206,Kathmandu,NP,1,1
422,-33.86667,150.95,Fairfield,AU,1,3
423,11.24802,75.7804,Kozhikode,IN,1,1
424,-31.648809999999997,-60.70868000000001,Santa Fe,AR,3,0
425,31.201759999999997,29.91582,Alexandria,EG,2,4
426,34.095290000000006,-118.12701000000001,Alhambra,US,0,0
427,33.5102,36.29128,Damascus,SY,2,4
428,0.51667,101.44167,Pekanbaru,ID,1,1
430,36.37285,-94.20881999999999,Bentonville,US,0,0
431,30.50463,-90.46293,Hammond,US,0,0
432,39.42734,-75.23408,Bridgeton,US,0,0
433,30.39603,-88.88531,Biloxi,US,0,0
434,51.16818,6.93093,Hilden,DE,2,2
435,15.551770000000001,32.53241,Khartoum,SD,2,4
436,-17.827720000000003,31.05337,Harare,ZW,2,4
437,2.3,111.81667,Sibu,MY,1,1
438,15.5512,120.8147,Quezon,PH,1,1
439,40.04115,-86.87445,Crawfordsville,US,0,0
440,5.01133,-9.0388,Greenville,LR,2,-1
441,41.08144,-81.51901,Akron,US,0,0
442,27.476290000000002,-99.51639,Nuevo Laredo,MX,0,0
443,16.88206,121.58693999999998,San Mateo,PH,1,1
444,26.358690000000003,-80.0831,Boca Raton,US,0,0
445,27.498929999999998,-82.57481999999999,Bradenton,US,0,0
446,38.655879999999996,-90.30928,University City,US,0,0
447,44.38358,-89.81735,Wisconsin Rapids,US,0,0
448,28.304679999999998,-81.41667,Kissimmee,US,0,0
449,41.43333,-96.49808,Fremont,US,0,0
450,40.84985,-73.86641,The Bronx,US,0,0
451,46.3168,-79.46633,North Bay,CA,0,0
452,40.37767,49.89201,Baku,AZ,2,4
453,43.59917,39.72569,Sochi,RU,2,4
454,18.23412,-66.0485,Caguas,PR,3,0
455,47.25288,-122.44429,Tacoma,US,0,0
456,42.765370000000004,-71.46757,Nashua,US,0,0
457,39.80276,-105.08748,Arvada,US,0,0
458,32.50931,-92.1193,Monroe,US,0,0
461,42.17114,-87.84451,Deerfield,US,0,0
462,50.73438,7.09549,Bonn,DE,2,2
464,37.55855,-122.27108,Foster City,US,0,0
465,34.01945,-118.49118999999999,Santa Monica,US,0,0
466,27.446709999999996,-80.32561,Fort Pierce,US,0,0
467,39.03385,125.75431999999999,Pyongyang,KP,1,1
468,28.6,-81.33924,Winter Park,US,0,0
469,43.171240000000004,-2.6338,Durango,ES,2,2
470,40.562329999999996,-74.13986,Staten Island,US,0,0
471,-11.83431,31.45287,Mpika,ZM,2,4
472,-23.84852,151.25775,Gladstone,AU,1,3
473,42.98339,-81.23304,London,CA,0,0
474,40.9351,-74.01903,New Milford,US,0,0
475,37.44188,-122.14301999999999,Palo Alto,US,0,0
476,17.64944,95.45705,Hinthada,MM,1,1
477,-0.22985,-78.52495,Quito,EC,3,0
478,39.48623,-75.02573000000001,Vineland,US,0,0
479,6.91028,122.07388999999999,Zamboanga,PH,1,1
481,34.258070000000004,-88.70464,Tupelo,US,0,0
483,38.71667,-9.13333,Lisbon,PT,2,2
484,4.73245,-74.26419,Madrid,CO,3,0
485,41.38879,2.15899,Barcelona,ES,2,2
486,38.71667,-9.13333,Lisbon,PT,2,2
487,4.73245,-74.26419,Madrid,CO,3,0
488,41.38879,2.15899,Barcelona,ES,2,2
489,46.60207,-120.5059,Yakima,US,0,0
490,-8.83682,13.23432,Luanda,AO,2,5
491,1.6671099999999999,101.44315999999999,Dumai,ID,1,1
492,44.27262,-121.17392,Redmond,US,0,0
493,38.5245,-90.35734000000001,Concord,US,0,0
494,42.13066,-70.91615999999999,Rockland,US,0,0
495,44.15906,-94.00915,Mankato,US,0,0
496,39.95373,-74.19792,Toms River,US,0,0
497,-6.16394,39.19793,Zanzibar,TZ,2,4
499,-3.3666699999999996,36.68333,Arusha,TZ,2,4
500,18.00747,-76.78319,New Kingston,JM,0,0
501,35.43333,139.65,Yokohama,JP,1,1
502,-12.802430000000001,28.21323,Kitwe,ZM,2,4
503,46.80833,-100.78374000000001,Bismarck,US,0,0
504,48.23251,-101.29626999999999,Minot,US,0,0
505,45.70004,-73.64732,Terrebonne,CA,0,0
506,49.316359999999996,-123.06934,North Vancouver,CA,0,0
507,33.747609999999995,-116.97306999999999,Hemet,US,0,0
510,3.93135,-76.48481,Darien,CO,3,0
511,-33.86667,150.95,Fairfield,AU,1,3
512,25.538439999999998,-80.40894,Princeton,US,0,0
513,55.675940000000004,12.56553,Copenhagen,DK,2,2
