,latitude,longitude,cluster_label
277,43.326618,-84.536095,21
278,30.100772,-97.310639,8
279,33.95335,-117.39616,0
280,36.116203,-119.618564,12
281,37.77493,-122.41942,22
282,21.52536,-78.22579,5
283,33.729759,-111.431221,20
284,31.054487,-97.563461,8
285,33.95335,-117.39616,0
286,37.919479,-121.951543,22
287,39.72943,-104.83192,23
288,36.116203,-119.618564,12
289,42.230171,-71.530106,15
290,54.9,-1.51667,2
291,31.054487,-97.563461,8
292,40.349457,-88.986137,7
293,42.230171,-71.530106,15
294,30.50826,-97.6789,8
295,42.230171,-71.530106,15
296,42.230171,-71.530106,15
297,37.76521,-122.24164,22
298,38.525182,-122.92611,22
299,45.694454,-93.900192,11
300,36.116203,-119.618564,12
301,31.169546,-91.867805,28
302,34.10834,-117.28977,0
303,54.9,-1.51667,2
304,33.95335,-117.39616,0
305,51.48755,-0.16936,2
306,42.230171,-71.530106,15
307,31.054487,-97.563461,8
308,36.116203,-119.618564,12
309,37.919479,-121.951543,22
310,21.52536,-78.22579,5
311,35.565342,-96.928917,3
312,35.747845,-86.692345,18
313,21.52536,-78.22579,5
314,21.52536,-78.22579,5
315,45.694454,-93.900192,11
316,21.52536,-78.22579,5
317,47.490599,-121.833996,9
318,42.230171,-71.530106,15
319,33.78779,-117.85311,0
320,21.52536,-78.22579,5
321,47.538569,-90.290189,27
322,42.230171,-71.530106,15
323,31.054487,-97.563461,8
324,36.116203,-119.618564,12
325,36.116203,-119.618564,12
326,40.349457,-88.986137,7
327,45.694454,-93.900192,11
328,40.590752,-77.209755,1
329,34.27834,-119.29317,0
330,45.694454,-93.900192,11
331,34.10834,-117.28977,0
332,36.116203,-119.618564,12
333,40.590752,-77.209755,1
334,35.565342,-96.928917,3
335,54.9,-1.51667,2
336,21.52536,-78.22579,5
337,42.230171,-71.530106,15
338,40.71427,-74.00597,1
339,48.070464,-121.936784,9
340,42.911532,-71.723055,15
341,36.116203,-119.618564,12
342,44.05817,-121.31531,9
343,40.349457,-88.986137,7
344,21.52536,-78.22579,5
345,42.230171,-71.530106,15
346,36.116203,-119.618564,12
347,39.09973,-94.57857,3
348,32.806671,-86.79113,18
349,21.52536,-78.22579,5
350,42.230171,-71.530106,15
351,39.063946,-76.802101,1
352,31.054487,-97.563461,8
353,47.538569,-90.290189,27
354,34.10834,-117.28977,0
355,-28.10391,26.86593,6
356,42.230171,-71.530106,15
357,14.2814,121.4161,4
358,42.230171,-71.530106,15
359,40.590752,-77.209755,1
360,41.85003,-87.65005,7
361,42.49044,-83.01304,21
362,33.95335,-117.39616,0
363,33.95335,-117.39616,0
364,36.116203,-119.618564,12
365,42.230171,-71.530106,15
366,41.85003,-87.65005,7
367,42.230171,-71.530106,15
368,36.116203,-119.618564,12
369,36.116203,-119.618564,12
370,21.52536,-78.22579,5
371,35.565342,-96.928917,3
372,42.230171,-71.530106,15
373,14.6982,121.1236,4
374,42.230171,-71.530106,15
375,40.349457,-88.986137,7
376,21.52536,-78.22579,5
377,22.40694,-79.96472,5
378,37.76521,-122.24164,22
379,42.011539,-93.210526,11
380,47.490599,-121.833996,9
381,21.52536,-78.22579,5
382,37.30216,-120.48297,12
