,latitude,longitude,cluster_label
590,33.44838,-112.07404,12
591,39.059811,-105.311104,10
592,39.861156,-105.528878,10
593,31.054487,-97.563461,3
594,27.766279,-81.686783,1
595,43.945175,-90.619969,19
596,38.250193,-78.009622,28
597,41.852058,-88.086039,7
598,43.326618,-84.536095,21
599,37.414672,-122.371546,24
600,31.054487,-97.563461,3
601,33.040814,-115.3554,15
602,30.78963,-98.201187,3
603,36.116203,-119.618564,0
604,42.230171,-71.530106,5
605,36.116203,-119.618564,0
606,36.116203,-119.618564,0
607,36.116203,-119.618564,0
608,47.528912,-99.784012,23
609,39.059811,-105.311104,10
610,31.054487,-97.563461,3
611,34.85722,-116.181197,15
612,31.054487,-97.563461,3
613,32.71571,-117.16472,15
614,47.490599,-121.833996,8
615,40.349457,-88.986137,7
616,42.230171,-71.530106,5
617,39.059811,-105.311104,10
618,27.766279,-81.686783,1
619,33.729759,-111.431221,12
620,27.766279,-81.686783,1
621,31.054487,-97.563461,3
622,40.150032,-111.862434,18
623,42.230171,-71.530106,5
624,42.165726,-74.948051,17
625,38.5266,-96.726486,16
626,47.400902,-121.490494,8
627,40.349457,-88.986137,7
628,36.333905,-89.485536,20
629,31.054487,-97.563461,3
630,43.452492,-71.563896,5
631,36.116203,-119.618564,0
632,42.230171,-71.530106,5
633,27.766279,-81.686783,1
634,47.400902,-121.490494,8
635,33.44838,-112.07404,12
636,38.5266,-96.726486,16
637,27.766279,-81.686783,1
638,31.054487,-97.563461,3
639,42.230171,-71.530106,5
640,33.729828,-116.002239,15
641,38.525182,-122.92611,24
642,31.054487,-97.563461,3
643,27.766279,-81.686783,1
644,36.116203,-119.618564,0
645,31.054487,-97.563461,3
646,39.059811,-105.311104,10
647,44.299782,-99.438828,23
648,27.766279,-81.686783,1
649,40.349457,-88.986137,7
650,41.85003,-87.65005,7
651,31.054487,-97.563461,3
652,27.766279,-81.686783,1
653,42.230171,-71.530106,5
654,33.729759,-111.431221,12
655,45.694454,-93.900192,2
656,40.388783,-82.764915,25
657,42.230171,-71.530106,5
658,40.349457,-88.986137,7
659,45.694454,-93.900192,2
660,36.116203,-119.618564,0
661,27.766279,-81.686783,1
662,32.806671,-86.79113,20
663,47.538569,-90.290189,19
664,39.849426,-86.258278,7
665,45.694454,-93.900192,2
666,47.538569,-90.290189,19
667,39.059811,-105.311104,10
668,40.388783,-82.764915,25
669,40.349457,-88.986137,7
670,27.766279,-81.686783,1
671,38.250193,-78.009622,28
672,33.856892,-80.945007,9
673,30.791242,-96.984395,3
674,42.230171,-71.530106,5
675,37.769337,-78.169968,28
676,40.388783,-82.764915,25
677,36.116203,-119.618564,0
678,40.349457,-88.986137,7
679,45.694454,-93.900192,2
680,37.934982,-121.272244,24
681,42.230171,-71.530106,5
682,31.054487,-97.563461,3
683,42.230171,-71.530106,5
684,34.85722,-116.181197,15
685,44.002349,-102.823801,23
686,36.116203,-119.618564,0
687,47.538569,-90.290189,19
688,27.766279,-81.686783,1
689,37.647139,-121.912488,24
690,31.054487,-97.563461,3
691,33.729828,-116.002239,15
692,21.094318,-157.498337,11
693,40.349457,-88.986137,7
694,36.116203,-119.618564,0
695,31.054487,-97.563461,3
696,38.250193,-78.009622,28
697,36.116203,-119.618564,0
698,47.400902,-121.490494,8
699,37.09024,-95.712891,16
700,30.791242,-96.984395,3
701,41.85003,-87.65005,7
702,42.230171,-71.530106,5
703,32.71571,-117.16472,15
704,40.349457,-88.986137,7
705,43.452492,-71.563896,5
706,38.250193,-78.009622,28
707,29.805491,-98.260544,3
708,31.054487,-97.563461,3
709,36.116203,-119.618564,0
710,31.054487,-97.563461,3
711,33.729828,-116.002239,15
712,36.116203,-119.618564,0
713,30.239513,-97.69127,3
714,31.054487,-97.563461,3
715,33.729759,-111.431221,12
716,27.766279,-81.686783,1
717,31.054487,-97.563461,3
718,42.230171,-71.530106,5
719,44.572021,-122.070938,22
720,36.116203,-119.618564,0
721,47.400902,-121.490494,8
722,31.054487,-97.563461,3
723,31.054487,-97.563461,3
724,42.230171,-71.530106,5
725,38.250193,-78.009622,28
726,37.769337,-78.169968,28
727,47.490599,-121.833996,8
728,42.165726,-74.948051,17
729,40.590752,-77.209755,13
730,47.400902,-121.490494,8
731,36.116203,-119.618564,0
732,41.597782,-72.755371,5
733,38.450016,-121.340441,24
734,46.463218,-91.892477,19
735,27.766279,-81.686783,1
736,36.116203,-119.618564,0
737,31.054487,-97.563461,3
738,31.054487,-97.563461,3
739,40.349457,-88.986137,7
740,35.565342,-96.928917,16
741,42.230171,-71.530106,5
742,36.116203,-119.618564,0
743,41.597782,-72.755371,5
744,47.400902,-121.490494,8
745,36.116203,-119.618564,0
746,31.054487,-97.563461,3
747,36.116203,-119.618564,0
748,30.58333,114.26667,4
749,27.766279,-81.686783,1
750,36.116203,-119.618564,0
751,37.769337,-78.169968,28
752,42.230171,-71.530106,5
753,40.349457,-88.986137,7
754,44.299782,-99.438828,23
755,33.729759,-111.431221,12
756,47.400902,-121.490494,8
757,31.054487,-97.563461,3
758,42.230171,-71.530106,5
759,27.766279,-81.686783,1
760,40.349457,-88.986137,7
761,31.054487,-97.563461,3
762,47.400902,-121.490494,8
763,31.054487,-97.563461,3
764,40.349457,-88.986137,7
765,40.349457,-88.986137,7
766,35.565342,-96.928917,16
767,36.116203,-119.618564,0
768,32.772119,-97.291224,3
769,38.456085,-92.288368,27
770,40.349457,-88.986137,7
771,35.420253,-88.611353,20
772,27.766279,-81.686783,1
773,31.054487,-97.563461,3
774,42.230171,-71.530106,5
775,38.313515,-117.055374,0
776,42.165726,-74.948051,17
777,31.054487,-97.563461,3
778,36.116203,-119.618564,0
779,35.346629,-118.729506,0
780,40.388783,-82.764915,25
781,27.766279,-81.686783,1
782,48.070464,-121.936784,8
783,32.71571,-117.16472,15
784,36.116203,-119.618564,0
785,40.349457,-88.986137,7
786,27.766279,-81.686783,1
787,42.230171,-71.530106,5
788,33.729759,-111.431221,12
789,39.059811,-105.311104,10
790,31.169546,-91.867805,14
791,30.707584,-98.68469,3
792,47.400902,-121.490494,8
793,39.318523,-75.507141,13
794,27.766279,-81.686783,1
795,36.116203,-119.618564,0
796,39.059811,-105.311104,10
797,39.063946,-76.802101,13
798,40.349457,-88.986137,7
799,37.09024,-95.712891,16
800,44.572021,-122.070938,22
801,47.400902,-121.490494,8
802,27.766279,-81.686783,1
803,30.791242,-96.984395,3
804,31.054487,-97.563461,3
805,33.205132,-97.12114,3
806,36.116203,-119.618564,0
807,40.349457,-88.986137,7
808,36.116203,-119.618564,0
809,38.456085,-92.288368,27
810,39.059811,-105.311104,10
811,38.313515,-117.055374,0
812,47.400902,-121.490494,8
813,31.169546,-91.867805,14
814,38.267226,-121.939594,24
815,36.116203,-119.618564,0
816,27.766279,-81.686783,1
817,44.572021,-122.070938,22
818,47.400902,-121.490494,8
819,45.694454,-93.900192,2
820,40.150032,-111.862434,18
821,47.528912,-99.784012,23
822,33.040814,-115.3554,15
823,36.116203,-119.618564,0
824,36.116203,-119.618564,0
825,36.116203,-119.618564,0
826,31.196731,-98.240889,3
827,47.400902,-121.490494,8
828,47.400902,-121.490494,8
829,27.766279,-81.686783,1
830,31.054487,-97.563461,3
831,61.370716,-152.404419,6
832,40.71427,-74.00597,17
833,36.116203,-119.618564,0
834,31.054487,-97.563461,3
835,38.525182,-122.92611,24
836,47.490599,-121.833996,8
837,31.054487,-97.563461,3
838,39.059811,-105.311104,10
839,39.059811,-105.311104,10
840,27.766279,-81.686783,1
841,37.220695,-121.69051,24
842,44.572021,-122.070938,22
843,40.349457,-88.986137,7
844,39.059811,-105.311104,10
845,42.165726,-74.948051,17
846,37.09024,-95.712891,16
847,45.694454,-93.900192,2
848,37.220695,-121.69051,24
849,31.054487,-97.563461,3
850,40.349457,-88.986137,7
851,45.694454,-93.900192,2
852,36.116203,-119.618564,0
853,42.011539,-93.210526,27
854,44.572021,-122.070938,22
855,36.116203,-119.618564,0
856,31.054487,-97.563461,3
857,39.063946,-76.802101,13
858,27.766279,-81.686783,1
859,30.266456,-98.399217,3
860,25.61058,-80.497099,1
861,31.054487,-97.563461,3
862,39.063946,-76.802101,13
863,36.116203,-119.618564,0
864,31.054487,-97.563461,3
865,36.116203,-119.618564,0
866,33.729759,-111.431221,12
867,40.349457,-88.986137,7
868,40.349457,-88.986137,7
869,40.349457,-88.986137,7
870,39.063946,-76.802101,13
871,31.054487,-97.563461,3
872,41.85003,-87.65005,7
873,33.729759,-111.431221,12
874,39.063946,-76.802101,13
875,40.349457,-88.986137,7
876,32.71571,-117.16472,15
877,40.349457,-88.986137,7
878,36.116203,-119.618564,0
879,31.054487,-97.563461,3
880,41.85003,-87.65005,7
881,39.059811,-105.311104,10
882,37.919479,-121.951543,24
883,34.05223,-118.24368,15
884,40.349457,-88.986137,7
885,45.694454,-93.900192,2
886,31.054487,-97.563461,3
887,36.116203,-119.618564,0
888,36.116203,-119.618564,0
889,37.220695,-121.69051,24
890,41.85003,-87.65005,7
891,47.400902,-121.490494,8
892,31.054487,-97.563461,3
893,30.239513,-97.69127,3
894,36.116203,-119.618564,0
895,42.165726,-74.948051,17
896,42.117952,-80.096386,25
897,45.694454,-93.900192,2
898,33.729759,-111.431221,12
899,33.729759,-111.431221,12
900,39.059811,-105.311104,10
901,27.766279,-81.686783,1
902,40.590752,-77.209755,13
903,44.572021,-122.070938,22
904,27.766279,-81.686783,1
905,40.349457,-88.986137,7
906,36.116203,-119.618564,0
907,44.693947,-69.381927,5
908,37.769337,-78.169968,28
909,36.333905,-89.485536,20
910,45.694454,-93.900192,2
911,42.230171,-71.530106,5
912,27.766279,-81.686783,1
913,40.349457,-88.986137,7
914,36.116203,-119.618564,0
915,37.562316,-121.002831,24
916,40.349457,-88.986137,7
917,40.349457,-88.986137,7
918,33.729828,-116.002239,15
919,45.694454,-93.900192,2
920,39.059811,-105.311104,10
921,42.165726,-74.948051,17
922,27.766279,-81.686783,1
923,36.116203,-119.618564,0
924,33.729828,-116.002239,15
925,42.230171,-71.530106,5
926,44.572021,-122.070938,22
927,36.116203,-119.618564,0
928,42.230171,-71.530106,5
929,40.349457,-88.986137,7
930,37.220695,-121.69051,24
931,40.590752,-77.209755,13
932,42.230171,-71.530106,5
933,31.054487,-97.563461,3
934,42.230171,-71.530106,5
935,36.116203,-119.618564,0
936,42.230171,-71.530106,5
937,39.059811,-105.311104,10
938,36.116203,-119.618564,0
939,36.116203,-119.618564,0
940,39.063946,-76.802101,13
941,42.230171,-71.530106,5
942,33.729828,-116.002239,15
943,36.116203,-119.618564,0
944,40.388783,-82.764915,25
945,36.333905,-89.485536,20
946,31.054487,-97.563461,3
947,43.326618,-84.536095,21
948,31.054487,-97.563461,3
949,31.054487,-97.563461,3
950,31.169546,-91.867805,14
951,40.349457,-88.986137,7
952,31.054487,-97.563461,3
953,32.78306,-96.80667,3
954,37.09024,-95.712891,16
955,31.054487,-97.563461,3
956,38.456085,-92.288368,27
957,37.934982,-121.272244,24
958,36.116203,-119.618564,0
959,27.766279,-81.686783,1
960,42.230171,-71.530106,5
961,32.71571,-117.16472,15
962,31.054487,-97.563461,3
963,32.806671,-86.79113,20
964,27.766279,-81.686783,1
965,36.116203,-119.618564,0
966,27.766279,-81.686783,1
967,39.063946,-76.802101,13
968,31.054487,-97.563461,3
969,40.590752,-77.209755,13
970,44.572021,-122.070938,22
971,47.538569,-90.290189,19
972,25.61058,-80.497099,1
973,36.701721,-83.130112,9
974,40.349457,-88.986137,7
975,36.116203,-119.618564,0
976,33.729828,-116.002239,15
977,39.059811,-105.311104,10
978,42.230171,-71.530106,5
979,42.230171,-71.530106,5
