,latitude,longitude,cluster_label
0,1.28967,103.85007,26
1,33.040619,-83.643074,29
2,40.38897,-3.74569,4
3,41.85003,-87.65005,13
4,30.58333,114.26667,23
5,41.597782,-72.755371,24
6,37.566,126.9784,20
7,40.298904,-74.521011,6
8,40.298904,-74.521011,6
9,18.38078,-65.95739,17
10,55.75222,37.61556,7
11,33.729759,-111.431221,25
12,40.150032,-111.862434,28
13,40.150032,-111.862434,28
14,51.75222,-1.25596,4
15,29.76328,-95.36327,0
16,31.054487,-97.563461,0
17,31.054487,-97.563461,0
18,31.054487,-97.563461,0
19,29.76328,-95.36327,0
20,39.849426,-86.258278,13
21,43.326618,-84.536095,13
22,29.76328,-95.36327,0
23,29.76328,-95.36327,0
24,29.76328,-95.36327,0
25,31.054487,-97.563461,0
26,33.729759,-111.431221,25
27,25.77427,-80.19366,5
28,29.76328,-95.36327,0
29,31.054487,-97.563461,0
30,21.094318,-157.498337,16
31,33.729759,-111.431221,25
32,36.116203,-119.618564,3
33,31.054487,-97.563461,0
34,31.054487,-97.563461,0
35,33.749,-84.38798,29
36,22.40694,-79.96472,5
37,33.040619,-83.643074,29
38,47.528912,-99.784012,14
39,32.806671,-86.79113,29
40,36.15398,-95.99277,8
41,34.969704,-92.373123,11
42,38.49457,43.38323,7
43,33.95335,-117.39616,15
44,33.95335,-117.39616,15
45,34.05223,-118.24368,15
46,36.116203,-119.618564,3
47,36.116203,-119.618564,3
48,36.116203,-119.618564,3
49,36.116203,-119.618564,3
50,37.919479,-121.951543,3
51,36.74773,-119.77237,3
52,35.346629,-118.729506,3
53,40.635045,-73.95064,6
54,38.051817,-122.745974,3
55,33.95335,-117.39616,15
56,38.58157,-121.4944,3
57,34.10834,-117.28977,15
58,32.71571,-117.16472,15
59,37.77493,-122.41942,3
60,22.40694,-79.96472,5
61,38.525182,-122.92611,3
62,37.562316,-121.002831,3
63,36.116203,-119.618564,3
64,36.116203,-119.618564,3
65,36.116203,-119.618564,3
66,36.116203,-119.618564,3
67,36.116203,-119.618564,3
68,36.116203,-119.618564,3
69,36.116203,-119.618564,3
70,36.116203,-119.618564,3
71,36.116203,-119.618564,3
72,36.116203,-119.618564,3
73,36.116203,-119.618564,3
74,47.60621,-122.33207,10
75,34.05223,-118.24368,15
76,36.116203,-119.618564,3
77,36.116203,-119.618564,3
78,36.116203,-119.618564,3
79,34.05223,-118.24368,15
80,36.116203,-119.618564,3
81,36.116203,-119.618564,3
82,36.116203,-119.618564,3
83,36.116203,-119.618564,3
84,33.729759,-111.431221,25
85,1.28967,103.85007,26
86,1.28967,103.85007,26
